station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
G0060005,538,1100.835205,738.3480835,562.835205,7.45,48.3395576,0.8893815,4,0.4877329,0.3597755,0.0117127,0.4705,0.0438,0.1381,0.2773,0.0644,0.006,0,0,0,0,1
401009,384,1323.619141,823.9033203,939.619141,15.53,34.0827713,0.9211974,4,0.4899627,0.4790465,0.0281442,0.7433,0.1228,0.0999,0.0314,0.0025,0.0001,0,0,0,0,0.96
401012,315,2181.551025,1063.394898,1866.551025,30.78,108.6792221,0.8517951,4,0.3682685,0.4009586,0.0171751,0.9165,0.0541,0.0255,0.0037,0.0002,0,0,0,0,0,1
401015,200,661.5020142,284.7579651,461.5020142,5.16,24.1937332,0.8001656,4,0.7875257,0.1849744,0.0191061,0.3809,0.0355,0.1114,0.1695,0.1229,0.1641,0.0156,0,0,0,0.4
401203,540,1982.64978,1096.268433,1442.64978,23.99,67.6006851,0.8073984,5,0.6503747,0.3833379,0.0212629,0.8665,0.0814,0.0453,0.0065,0.0003,0,0,0,0,0,1
401208,375,1270.401856,685.069519,895.401856,21.07,28.4073448,0.6960871,4,0.7478715,0.3440076,0.0314104,0.8147,0.0956,0.0766,0.013,0,0,0,0,0,0,1
401210,316,1945.559448,852.7523193,1629.559448,36.03,37.5514221,0.7973154,4,0.6139467,0.3330156,0.0436316,0.9494,0.0326,0.0162,0.0017,0.0001,0,0,0,0,0,1
401212,511,1763.044312,1079.132935,1252.044312,36.61,40.040596,0.8206111,4,0.4468788,0.4605453,0.0316624,0.9434,0.0375,0.0179,0.0012,0,0,0,0,0,0,1
401216,699,1982.64978,1246.400879,1283.64978,31.38,42.8431244,0.8462049,4,0.4984318,0.4332277,0.0303204,0.9248,0.0488,0.0232,0.0032,0,0,0,0,0,0,1
401217,495,1751.173462,1030.36145,1256.173462,33.55,44.2228851,0.7683907,4,0.5042595,0.4263349,0.028413,0.9278,0.0412,0.024,0.0064,0.0005,0,0,0,0,0,1
402204,217,1161.637085,502.9161987,944.637085,16.85,30.3745918,0.8483083,4,0.6298451,0.3087762,0.0313742,0.734,0.0992,0.1285,0.0378,0.0004,0,0,0,0,0,0.75
402206,246,1188.711182,631.3733521,942.711182,32.45,23.4003086,0.7330733,3,0.5462146,0.4079921,0.0402318,0.9164,0.0438,0.0313,0.0085,0,0,0,0,0,0,1
402213,227,1161.637085,483.8390503,934.637085,17.62,22.6247005,0.8870165,3,0.5563812,0.2758765,0.0413718,0.7314,0.0909,0.1359,0.0413,0.0005,0,0,0,0,0,0.6
402217,315,1161.637085,542.7843628,846.637085,18.89,10.3832865,1.0417798,3,0.5629544,0.2789904,0.082663,0.7683,0.1003,0.1154,0.016,0,0,0,0,0,0,0.95
403209A,143,1904.80835,559.770752,1761.80835,25.61,150.8087006,0.8100151,6,0.5570874,0.2339486,0.0116426,0.7504,0.0503,0.0617,0.037,0.0253,0.0221,0.0392,0.0141,0,0,0
